parent_id,candidate_id,reference,candidate,semantically_equivalent_0_1,natural_0_1,notes
test-product-011,test-product-011:023,The lunch box contains two removable containers.,The lunch box includes two openable containers inside it.,,,
test-product-010,test-product-010:009,This stapler can be refilled by opening the top section.,Opening the top section of this stapler allows for refilling.,,,
test-product-010,test-product-010:017,This stapler can be refilled by opening the top section.,You can refill this stapler by opening its top section.,,,
test-product-011,test-product-011:027,The lunch box contains two removable containers.,The lunch box holds two collapsible containers.,,,
test-product-010,test-product-010:029,This stapler can be refilled by opening the top section.,The stapler allows for refilling by opening its top part.,,,
test-daily-006,test-daily-006:012,We opened the windows to let some fresh air into the room.,We opened the windows to admit some fresh air into the space.,,,
test-daily-006,test-daily-006:025,We opened the windows to let some fresh air into the room.,"To let some fresh air into the room, we opened the windows.",,,
test-product-010,test-product-010:011,This stapler can be refilled by opening the top section.,This stapler can be refilled by opening its top section.,,,
test-product-010,test-product-010:002,This stapler can be refilled by opening the top section.,This stapler allows you to refill it by opening its top part.,,,
test-product-011,test-product-011:006,The lunch box contains two removable containers.,The lunch box includes two removable storage compartments.,,,
test-product-010,test-product-010:008,This stapler can be refilled by opening the top section.,This stapler can be refilled by accessing its upper compartment.,,,
ood-science-006,ood-science-006:018,Friction can convert some mechanical energy into heat.,Some frictional forces transform mechanical energy into heat.,,,
ood-science-015,ood-science-015:023,Seeds need suitable conditions to begin growing into plants.,Seeds require proper conditions for growth into plants.,,,
ood-science-025,ood-science-025:012,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in a higher acceleration if mass remains constant.,,,
ood-science-006,ood-science-006:001,Friction can convert some mechanical energy into heat.,Mechanical energy can be converted into heat by friction.,,,
ood-science-025,ood-science-025:023,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration when mass remains constant.,,,
ood-science-006,ood-science-006:000,Friction can convert some mechanical energy into heat.,Friction transforms some mechanical energy into heat.,,,
ood-science-023,ood-science-023:025,The roots of a plant absorb water from the surrounding soil.,"From the surrounding soil, water is absorbed by the roots of a plant.",,,
ood-science-015,ood-science-015:021,Seeds need suitable conditions to begin growing into plants.,Suitable conditions are needed for seeds to start growing into plants.,,,
ood-science-023,ood-science-023:017,The roots of a plant absorb water from the surrounding soil.,Water is absorbed by the roots of a plant from the surrounding soil.,,,
ood-science-015,ood-science-015:001,Seeds need suitable conditions to begin growing into plants.,Suitable conditions are necessary for seeds to grow into plants.,,,
ood-science-015,ood-science-015:019,Seeds need suitable conditions to begin growing into plants.,Seeds require ideal circumstances for growth into plants.,,,
ood-science-015,ood-science-015:004,Seeds need suitable conditions to begin growing into plants.,Seeds require optimal circumstances for germination into plants.,,,
ood-science-015,ood-science-015:002,Seeds need suitable conditions to begin growing into plants.,Seeds require ideal conditions for germination into plants.,,,
ood-science-015,ood-science-015:026,Seeds need suitable conditions to begin growing into plants.,Seeds require optimal conditions for germination into plants.,,,
ood-science-015,ood-science-015:009,Seeds need suitable conditions to begin growing into plants.,Suitable conditions are necessary for seeds to start growing into plants.,,,
ood-science-025,ood-science-025:031,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in a more substantial acceleration if the mass remains constant.,,,
ood-science-015,ood-science-015:028,Seeds need suitable conditions to begin growing into plants.,Seeds require favorable conditions for germination into plant forms.,,,
ood-science-025,ood-science-025:028,A larger force causes a larger acceleration when mass is unchanged.,A greater force leads to more acceleration when the mass remains constant.,,,
ood-science-025,ood-science-025:026,A larger force causes a larger acceleration when mass is unchanged.,A greater force leads to more acceleration if the mass remains constant.,,,
ood-science-015,ood-science-015:027,Seeds need suitable conditions to begin growing into plants.,Seeds require ideal conditions for growth into plants.,,,
ood-science-006,ood-science-006:005,Friction can convert some mechanical energy into heat.,Some mechanical energy can be converted into heat by friction.,,,
ood-science-006,ood-science-006:007,Friction can convert some mechanical energy into heat.,Friction transforms at least some mechanical energy to heat.,,,
ood-science-025,ood-science-025:002,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration if mass remains constant.,,,
ood-science-023,ood-science-023:027,The roots of a plant absorb water from the surrounding soil.,The roots draw water from soil around plants.,,,
ood-science-025,ood-science-025:004,A larger force causes a larger acceleration when mass is unchanged.,A stronger force results in greater acceleration if mass remains constant.,,,
ood-science-025,ood-science-025:022,A larger force causes a larger acceleration when mass is unchanged.,A greater force leads to increased acceleration provided mass remains constant.,,,
ood-science-025,ood-science-025:024,A larger force causes a larger acceleration when mass is unchanged.,A stronger force leads to greater acceleration if mass remains constant.,,,
ood-science-023,ood-science-023:021,The roots of a plant absorb water from the surrounding soil.,Water is absorbed by the roots located within the soil.,,,
ood-science-006,ood-science-006:030,Friction can convert some mechanical energy into heat.,Friction can transform some mechanical energy into heat.,,,
ood-science-006,ood-science-006:004,Friction can convert some mechanical energy into heat.,Friction transforms part of mechanical energy into heat.,,,
ood-science-025,ood-science-025:014,A larger force causes a larger acceleration when mass is unchanged.,A greater force leads to a more significant acceleration if the mass stays constant.,,,
ood-science-006,ood-science-006:022,Friction can convert some mechanical energy into heat.,Some friction converts mechanical energy to heat.,,,
ood-science-015,ood-science-015:015,Seeds need suitable conditions to begin growing into plants.,Seeds require appropriate conditions for growth into plants.,,,
ood-science-006,ood-science-006:013,Friction can convert some mechanical energy into heat.,Some mechanical energy can be converted by friction into heat.,,,
ood-science-006,ood-science-006:006,Friction can convert some mechanical energy into heat.,Mechanical energy can be converted into heat through friction.,,,
ood-science-025,ood-science-025:015,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration if the mass stays constant.,,,
ood-science-006,ood-science-006:008,Friction can convert some mechanical energy into heat.,Friction converts some mechanical energy to heat.,,,
ood-science-015,ood-science-015:006,Seeds need suitable conditions to begin growing into plants.,Seeds require favorable conditions for initiating growth into plants.,,,
ood-science-023,ood-science-023:009,The roots of a plant absorb water from the surrounding soil.,Water is absorbed by the roots of plants from their surroundings.,,,
ood-science-025,ood-science-025:000,A larger force causes a larger acceleration when mass is unchanged.,A greater force leads to a more significant acceleration if the mass remains constant.,,,
ood-science-006,ood-science-006:014,Friction can convert some mechanical energy into heat.,Friction converts some mechanical energy into heat.,,,
ood-science-023,ood-science-023:013,The roots of a plant absorb water from the surrounding soil.,Water is absorbed by plant roots from the soil surrounding them.,,,
ood-science-025,ood-science-025:003,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration if constant mass is maintained.,,,
ood-science-025,ood-science-025:030,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in a higher acceleration when the mass remains constant.,,,
ood-science-006,ood-science-006:028,Friction can convert some mechanical energy into heat.,Friction transmutes some mechanical energy into heat.,,,
ood-science-015,ood-science-015:018,Seeds need suitable conditions to begin growing into plants.,Seeds require ideal circumstances for germination into plants.,,,
ood-science-025,ood-science-025:006,A larger force causes a larger acceleration when mass is unchanged.,A stronger force leads to greater acceleration when the mass remains constant.,,,
ood-science-015,ood-science-015:010,Seeds need suitable conditions to begin growing into plants.,Seeds require favorable conditions for growth into plants.,,,
ood-science-025,ood-science-025:020,A larger force causes a larger acceleration when mass is unchanged.,A greater force leads to a bigger acceleration if mass stays constant.,,,
ood-science-006,ood-science-006:031,Friction can convert some mechanical energy into heat.,Friction transforms a portion of mechanical energy into heat.,,,
