parent_id,candidate_id,reference,candidate,semantically_equivalent_0_1,natural_0_1,notes
ood-science-029,ood-science-029:014,A mixture can sometimes be separated by taking advantage of differences in particle size.,"Sometimes, separating a mixture requires making use of variations in particle size.",,,
ood-science-003,ood-science-003:007,A magnet has a north pole and a south pole.,A magnet possesses both a north pole and a south pole.,,,
ood-science-027,ood-science-027:004,A wave can transfer energy without carrying matter over the same distance.,A wave can transmit energy without transporting matter over the same distance.,,,
ood-science-004,ood-science-004:019,Sound travels through air as changes in pressure.,Sound propagates via fluctuations in air pressure.,,,
ood-science-011,ood-science-011:025,Insulation slows the transfer of heat between two regions.,The transfer of heat is slowed by insulation between two regions.,,,
ood-science-014,ood-science-014:004,A thermometer measures temperature using a property that changes with temperature.,A thermometer gauges temperature through a characteristic that alters according to temperature.,,,
ood-science-025,ood-science-025:023,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration when mass remains constant.,,,
ood-science-009,ood-science-009:005,Water expands when it freezes under ordinary conditions.,"Under ordinary conditions, water expands when it freezes.",,,
ood-science-018,ood-science-018:026,The lungs exchange oxygen and carbon dioxide with the blood.,Lungs share oxygen and carbon dioxide with blood.,,,
ood-science-003,ood-science-003:029,A magnet has a north pole and a south pole.,A magnet features poles that are either north or south.,,,
ood-science-024,ood-science-024:007,Heat can travel through a solid by conduction.,Heat can traverse a solid via conduction.,,,
ood-science-029,ood-science-029:002,A mixture can sometimes be separated by taking advantage of differences in particle size.,A mixture might sometimes be separated by taking advantage of differences in particle size.,,,
ood-science-024,ood-science-024:024,Heat can travel through a solid by conduction.,Heat may propagate within a solid via conduction.,,,
ood-science-015,ood-science-015:029,Seeds need suitable conditions to begin growing into plants.,"Into plants, seeds require suitable conditions for growth.",,,
ood-science-005,ood-science-005:020,Plants use light energy to make sugars during photosynthesis.,Plants employ light energy to create sugars through photosynthesis.,,,
ood-science-025,ood-science-025:012,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in a higher acceleration if mass remains constant.,,,
ood-science-012,ood-science-012:017,Dissolving salt in water produces a mixture with dissolved ions.,A mixture with dissolved ions results from dissolving salt in water.,,,
ood-science-013,ood-science-013:007,The Moon reflects sunlight rather than producing its own visible light.,The Moon reflects sunlight instead of emitting its own light.,,,
ood-science-005,ood-science-005:003,Plants use light energy to make sugars during photosynthesis.,Plants convert light energy into sugars through photosynthesis.,,,
ood-science-013,ood-science-013:011,The Moon reflects sunlight rather than producing its own visible light.,The Moon does not produce its own light; it reflects sunlight instead.,,,
ood-science-022,ood-science-022:030,A compass needle tends to align with the local magnetic field.,The compass needle usually points in the direction of the nearby magnetic field.,,,
ood-science-005,ood-science-005:001,Plants use light energy to make sugars during photosynthesis.,"During photosynthesis, plants convert light energy into sugars.",,,
ood-science-015,ood-science-015:007,Seeds need suitable conditions to begin growing into plants.,Seeds require appropriate circumstances for development into plants.,,,
ood-science-002,ood-science-002:021,An electric circuit must form a closed path for a steady current to flow.,A steady current flows through an electric circuit when it forms a closed path.,,,
ood-science-027,ood-science-027:006,A wave can transfer energy without carrying matter over the same distance.,A wave transfers energy across distances without moving any material particles.,,,
ood-science-003,ood-science-003:000,A magnet has a north pole and a south pole.,A magnet exhibits a north and south pole.,,,
ood-science-004,ood-science-004:004,Sound travels through air as changes in pressure.,Sound propagates through air due to variations in pressure.,,,
ood-science-016,ood-science-016:009,Condensation occurs when water vapor changes into liquid water.,Water vapor turns into liquid water through condensation.,,,
ood-science-014,ood-science-014:016,A thermometer measures temperature using a property that changes with temperature.,A thermometer gauges temperature by employing a characteristic that alters based on temperature.,,,
ood-science-015,ood-science-015:018,Seeds need suitable conditions to begin growing into plants.,Seeds require ideal circumstances for germination into plants.,,,
ood-science-007,ood-science-007:029,A lens can change the direction of light passing through it.,The lens alters the path that light takes as it passes through it.,,,
ood-science-016,ood-science-016:024,Condensation occurs when water vapor changes into liquid water.,Condensation happens as water vapor turns into liquid water.,,,
ood-science-025,ood-science-025:002,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration if mass remains constant.,,,
ood-science-024,ood-science-024:028,Heat can travel through a solid by conduction.,Heat can traverse through a solid via conduction.,,,
ood-science-008,ood-science-008:021,The Earth rotates about its axis as it moves around the Sun.,"As the Earth moves around the Sun, it rotates on its axis.",,,
ood-science-007,ood-science-007:000,A lens can change the direction of light passing through it.,A lens alters the path of light entering it.,,,
ood-science-023,ood-science-023:017,The roots of a plant absorb water from the surrounding soil.,Water is absorbed by the roots of a plant from the surrounding soil.,,,
ood-science-025,ood-science-025:007,A larger force causes a larger acceleration when mass is unchanged.,A greater force results in more acceleration if mass stays constant.,,,
ood-science-016,ood-science-016:000,Condensation occurs when water vapor changes into liquid water.,Condensation happens when water vapor turns into liquid water.,,,
ood-science-029,ood-science-029:030,A mixture can sometimes be separated by taking advantage of differences in particle size.,"Sometimes, separating a mixture involves capitalizing on variations in particle size.",,,
ood-science-022,ood-science-022:013,A compass needle tends to align with the local magnetic field.,The compass needle tends to face in the direction of the local magnetic field.,,,
ood-science-017,ood-science-017:019,A prism can separate white light into a range of colors.,A prism breaks down white light into various hues.,,,
ood-science-024,ood-science-024:021,Heat can travel through a solid by conduction.,"By conduction, heat can be transferred through solids.",,,
ood-science-015,ood-science-015:021,Seeds need suitable conditions to begin growing into plants.,Suitable conditions are needed for seeds to start growing into plants.,,,
ood-science-020,ood-science-020:009,Air resistance acts against the motion of an object through air.,An object moving through air experiences resistance from the air.,,,
ood-science-016,ood-science-016:010,Condensation occurs when water vapor changes into liquid water.,"When water vapor transforms into liquid water, condensation happens.",,,
